id,Name,Number,District,Public,Total.docks,geometry,bikelanedist,tstopdist
25,South End Library - Tremont St at W Newton St,A32009,Boston,Yes,15,"c(234869.291622296, 899068.490707789)",244.154611817288,375.871366211238
428,Western Ave at Richardson St,A32043,Boston,Yes,0,"c(229331.875551798, 901315.337211455)",5.28857088163657,1493.46687972826
133,Green Street T Stop - Green St at Amory St,E32005,Boston,Yes,23,"c(232372.22256622, 895640.591475848)",19.2916744725463,96.006225648599
173,Savin Hill T Stop - S Sydney St at Bay St,C32033,Boston,Yes,14,"c(236778.041169819, 895664.586590645)",313.392856446608,26.9975120399344
225,Cambridge Dept. of Public Works -147 Hampshire St.,M32052,Cambridge,Yes,19,"c(233143.643923806, 902377.514286664)",9.40051720779895,819.759235499676
17,Soldiers Field Park - 111 Western Ave,A32006,Boston,Yes,15,"c(231444.046498671, 901599.50435972)",10.485803165791,1085.99658566927
360,Bartlett St at John Elliot Sq,B32055,Boston,Yes,15,"c(233778.745089219, 897744.820121598)",314.68533310635,506.503812809956
31,Seaport Hotel - Congress St at Seaport Ln,B32014,Boston,Yes,19,"c(237762.89650413, 899914.112048688)",113.84016326286,94.1499095566576
130,Uphams Corner,C32019,Boston,Yes,0,"c(235828.641522543, 896401.096409267)",25.7450499853053,1135.54515968246
13,Boston Medical Center - E Concord St at Harrison Ave,C32002,Boston,Yes,19,"c(235183.507411613, 898522.127623818)",205.528835198876,231.107036777373
239,Community Path at Cedar Street,S32022,Somerville,Yes,15,"c(232000.525864254, 904913.130352032)",5.72913463443934,904.576326880742
65,Boston Convention and Exhibition Center - Summer St at West Side Dr,D32018,Boston,Yes,23,"c(237460.101956512, 899796.21417355)",217.294805549097,233.962194075209
318,Ames St at Broadway,M32059,Cambridge,Yes,19,"c(233973.906743463, 901547.907150227)",3.26039122354705,181.60394092182
359,One Brigham Circle,B32036,Boston,Yes,15,"c(232597.297408168, 898234.580728581)",13.0635053408445,94.4173761493994
354,Washington St at Egremont Rd,A32037,Boston,Yes,0,"c(229559.233951119, 899214.806926761)",142.365684514083,174.326759360167
282,Stony Brook T Stop,D32041,Boston,Yes,15,"c(232613.540423716, 896351.154388153)",33.8252841191056,15.8627530272829
